BLItemNo	ElementId	LdrawId	PartName	BLColorId	LDrawColorId	ColorName	ColorCategory	Qty	Weight
2412b	241202	2412b	Tile, Modified 1 x 2 Grille with Bottom Groove / Lip	9	7	Light Gray	Solid Colors	4	0.23
2412b	241201	2412b	Tile, Modified 1 x 2 Grille with Bottom Groove / Lip	1	15	White	Solid Colors	10	0.23
2420	242001	2420	Plate 2 x 2 Corner	1	15	White	Solid Colors	4	0.54
24246	6256435	24246	Tile 1 x 1 Half Circle Extended (Stadium) with Groove	11	0	Black	Solid Colors	8	0.1
24246	6250591	24246	Tile 1 x 1 Half Circle Extended (Stadium) with Groove	1	15	White	Solid Colors	2	0.1
2431	243128	2431	Tile 1 x 4	6	2	Green	Solid Colors	1	0.54
2431	4543949	2431	Tile 1 x 4	80	288	Dark Green	Solid Colors	3	0.54
2432	243202	2432	Tile, Modified 1 x 2 with Handle	9	7	Light Gray	Solid Colors	1	0.58
2432		2432	Tile, Modified 1 x 2 with Handle	8	6	Brown	Solid Colors	2	0.58
2436	4282737	2436	Bracket 1 x 2 - 1 x 4	1	15	White	Solid Colors	2	0.93
26047	6157554	26047	Plate, Modified 1 x 1 Rounded with Handle	11	0	Black	Solid Colors	2	0.3
3001	300101	3001	Brick 2 x 4	1	15	White	Solid Colors	5	2.32
3002	300201	3002	Brick 2 x 3	1	15	White	Solid Colors	2	1.92
3003	4211210	3003	Brick 2 x 2	88	70	Reddish Brown	Solid Colors	1	1.35
3003	300301	3003	Brick 2 x 2	1	15	White	Solid Colors	1	1.35
3003	4211060	3003	Brick 2 x 2	85	72	Dark Bluish Gray	Solid Colors	1	1.35
3004	4613964	3004	Brick 1 x 2	1	15	White	Solid Colors	3	0.8
3004	4613963	3004	Brick 1 x 2	88	70	Reddish Brown	Solid Colors	3	0.8
3005	4160990	3005	Brick 1 x 1	8	6	Brown	Solid Colors	3	0.44
3005	4211098	3005	Brick 1 x 1	85	72	Dark Bluish Gray	Solid Colors	2	0.44
3005	300501	3005	Brick 1 x 1	1	15	White	Solid Colors	10	0.44
3005	4211242	3005	Brick 1 x 1	88	70	Reddish Brown	Solid Colors	4	0.44
3010	301001	3010	Brick 1 x 4	1	15	White	Solid Colors	6	1.64
3020	302001	3020	Plate 2 x 4	1	15	White	Solid Colors	2	1.2
3020	4586057	3020	Plate 2 x 4	80	288	Dark Green	Solid Colors	4	1.2
3020	6226792	3020	Plate 2 x 4	120	308	Dark Brown	Solid Colors	1	1.2
3020	4112232	3020	Plate 2 x 4	10	8	Dark Gray	Solid Colors	1	1.2
3021	302102	3021	Plate 2 x 3	9	7	Light Gray	Solid Colors	1	0.93
3021	302101	3021	Plate 2 x 3	1	15	White	Solid Colors	6	0.93
3021	4650244	3021	Plate 2 x 3	80	288	Dark Green	Solid Colors	1	0.93
3021	4114000	3021	Plate 2 x 3	8	6	Brown	Solid Colors	2	0.93
3022	4613976	3022	Plate 2 x 2	1	15	White	Solid Colors	4	0.64
3023	302326	3023	Plate 1 x 2	11	0	Black	Solid Colors	2	0.36
3023	302301	3023	Plate 1 x 2	1	15	White	Solid Colors	7	0.36
3023	4211150	3023	Plate 1 x 2	88	70	Reddish Brown	Solid Colors	5	0.36
3023	302325	3023	Plate 1 x 2	8	6	Brown	Solid Colors	1	0.36
3024	4143684	3024	Plate 1 x 1	10	8	Dark Gray	Solid Colors	12	0.2
3024	4221744	3024	Plate 1 x 1	88	70	Reddish Brown	Solid Colors	3	0.2
3024	6055169	3024	Plate 1 x 1	80	288	Dark Green	Solid Colors	5	0.2
3024		3024	Plate 1 x 1	8	6	Brown	Solid Colors	1	0.2
3024		3024	Plate 1 x 1	91	86	Medium Brown	Solid Colors	3	0.2
3024	302401	3024	Plate 1 x 1	1	15	White	Solid Colors	6	0.2
