BLItemNo	ElementId	LdrawId	PartName	BLColorId	LDrawColorId	ColorName	ColorCategory	Qty	Weight
2357	4211349	2357	Brick 2 x 2 Corner	86	71	Light Bluish Gray	Solid Colors	11	1.25
2357	4211200	2357	Brick 2 x 2 Corner	88	70	Reddish Brown	Solid Colors	8	1.25
2357	4124455	2357	Brick 2 x 2 Corner	2	19	Tan	Solid Colors	2	1.25
2412b	4224243	2412b	Tile, Modified 1 x 2 Grille with Bottom Groove / Lip	88	70	Reddish Brown	Solid Colors	147	0.23
2412b	4211350	2412b	Tile, Modified 1 x 2 Grille with Bottom Groove / Lip	86	71	Light Bluish Gray	Solid Colors	12	0.23
2412b	4124456	2412b	Tile, Modified 1 x 2 Grille with Bottom Groove / Lip	2	19	Tan	Solid Colors	1	0.23
2412b	4210631	2412b	Tile, Modified 1 x 2 Grille with Bottom Groove / Lip	85	72	Dark Bluish Gray	Solid Colors	2	0.23
2420	4210635	2420	Plate 2 x 2 Corner	85	72	Dark Bluish Gray	Solid Colors	2	0.54
2420	4550168	2420	Plate 2 x 2 Corner	69	28	Dark Tan	Solid Colors	1	0.54
2420	4211353	2420	Plate 2 x 2 Corner	86	71	Light Bluish Gray	Solid Colors	13	0.54
2445	4268715	2445	Plate 2 x 12	69	28	Dark Tan	Solid Colors	1	3.5
2445	6218146	2445	Plate 2 x 12	6	2	Green	Solid Colors	4	3.5
2445	4211067	2445	Plate 2 x 12	85	72	Dark Bluish Gray	Solid Colors	1	3.5
2445	4211360	2445	Plate 2 x 12	86	71	Light Bluish Gray	Solid Colors	1	3.5
2449	4636202	2449	Slope, Inverted 75 2 x 1 x 3	11	0	Black	Solid Colors	1	1.88
2453a		2453a	Brick 1 x 1 x 5 - Blocked Open Stud	12	47	Trans-Clear	Transparent Colors	10	2.13
2453a		2453a	Brick 1 x 1 x 5 - Blocked Open Stud	2	19	Tan	Solid Colors	12	2.13
2456	4181134	2456	Brick 2 x 6	2	19	Tan	Solid Colors	1	3.74
2456	4211795	2456	Brick 2 x 6	86	71	Light Bluish Gray	Solid Colors	12	3.74
2458	4160228	2458	Brick, Modified 1 x 2 with Pin	1	15	White	Solid Colors	1	1.09
2462	4598467	2462	Brick, Modified Facet 3 x 3	2	19	Tan	Solid Colors	24	1.46
2540	4210660	2540	Plate, Modified 1 x 2 with Handle on Side - Free Ends	85	72	Dark Bluish Gray	Solid Colors	4	0.63
2555	4542411	2555	Tile, Modified 1 x 1 with Clip	2	19	Tan	Solid Colors	40	0.22
2639		2639	Plate 4 x 4 Corner	86	71	Light Bluish Gray	Solid Colors	1	1.75
2730	4160545	2730	Technic, Brick 1 x 10 with Holes	2	19	Tan	Solid Colors	1	3.67
2877	4655900	2877	Brick, Modified 1 x 2 with Grille (Grill)	2	19	Tan	Solid Colors	5	0.68
2921	6170566	2921	Brick, Modified 1 x 1 with Handle	11	0	Black	Solid Colors	4	0.61
3001	300121	3001	Brick 2 x 4	5	4	Red	Solid Colors	37	2.32
3001	4114319	3001	Brick 2 x 4	2	19	Tan	Solid Colors	40	2.32
3001	4211385	3001	Brick 2 x 4	86	71	Light Bluish Gray	Solid Colors	97	2.32
3001	4106356	3001	Brick 2 x 4	6	2	Green	Solid Colors	1	2.32
3001	4211201	3001	Brick 2 x 4	88	70	Reddish Brown	Solid Colors	219	2.32
3001	4260493	3001	Brick 2 x 4	80	288	Dark Green	Solid Colors	18	2.32
3002	300221	3002	Brick 2 x 3	5	4	Red	Solid Colors	2	1.92
3002	4159739	3002	Brick 2 x 3	2	19	Tan	Solid Colors	14	1.92
3002	4211386	3002	Brick 2 x 3	86	71	Light Bluish Gray	Solid Colors	40	1.92
3002	4109674	3002	Brick 2 x 3	6	2	Green	Solid Colors	1	1.92
3002	300226	3002	Brick 2 x 3	11	0	Black	Solid Colors	2	1.92
3003	300321	3003	Brick 2 x 2	5	4	Red	Solid Colors	9	1.35
3003	4255416	3003	Brick 2 x 2	69	28	Dark Tan	Solid Colors	2	1.35
3003	4211387	3003	Brick 2 x 2	86	71	Light Bluish Gray	Solid Colors	53	1.35
3003	4211060	3003	Brick 2 x 2	85	72	Dark Bluish Gray	Solid Colors	3	1.35
3003	300326	3003	Brick 2 x 2	11	0	Black	Solid Colors	12	1.35
3003	6239418	3003	Brick 2 x 2	12	47	Trans-Clear	Transparent Colors	3	1.35
3003	4114306	3003	Brick 2 x 2	2	19	Tan	Solid Colors	7	1.35
3003	4209117	3003	Brick 2 x 2	36	10	Bright Green	Solid Colors	1	1.35
3004	4613961	3004	Brick 1 x 2	5	4	Red	Solid Colors	2	0.8
3004	4211088	3004	Brick 1 x 2	85	72	Dark Bluish Gray	Solid Colors	3	0.8
3004	4613964	3004	Brick 1 x 2	1	15	White	Solid Colors	4	0.8
3004	4109995	3004	Brick 1 x 2	2	19	Tan	Solid Colors	45	0.8
3004	300426	3004	Brick 1 x 2	11	0	Black	Solid Colors	5	0.8
3004	4211388	3004	Brick 1 x 2	86	71	Light Bluish Gray	Solid Colors	78	0.8
3005	300526	3005	Brick 1 x 1	11	0	Black	Solid Colors	2	0.44
3005	4211098	3005	Brick 1 x 1	85	72	Dark Bluish Gray	Solid Colors	5	0.44
3005	4211389	3005	Brick 1 x 1	86	71	Light Bluish Gray	Solid Colors	84	0.44
3005	4113915	3005	Brick 1 x 1	2	19	Tan	Solid Colors	171	0.44
3005	4211242	3005	Brick 1 x 1	88	70	Reddish Brown	Solid Colors	2	0.44
3005	6220959	3005	Brick 1 x 1	12	47	Trans-Clear	Transparent Colors	36	0.44
3009	4247151	3009	Brick 1 x 6	69	28	Dark Tan	Solid Colors	2	2.42
3009	6000743	3009	Brick 1 x 6	68	484	Dark Orange	Solid Colors	46	2.42
3009	4211100	3009	Brick 1 x 6	85	72	Dark Bluish Gray	Solid Colors	2	2.42
3010	4245571	3010	Brick 1 x 4	80	288	Dark Green	Solid Colors	1	1.64
3010	4211394	3010	Brick 1 x 4	86	71	Light Bluish Gray	Solid Colors	12	1.64
3010	6223040	3010	Brick 1 x 4	68	484	Dark Orange	Solid Colors	4	1.64
3010	4211103	3010	Brick 1 x 4	85	72	Dark Bluish Gray	Solid Colors	4	1.64
3010	301001	3010	Brick 1 x 4	1	15	White	Solid Colors	4	1.64
3010	4113916	3010	Brick 1 x 4	2	19	Tan	Solid Colors	16	1.64
3010	301026	3010	Brick 1 x 4	11	0	Black	Solid Colors	1	1.64
30136	4218749	30136	Brick, Modified 1 x 2 Log	2	19	Tan	Solid Colors	19	0.69
30136	4520257	30136	Brick, Modified 1 x 2 Log	69	28	Dark Tan	Solid Colors	2	0.69
3020	302028	3020	Plate 2 x 4	6	2	Green	Solid Colors	2	1.2
3020	302021	3020	Plate 2 x 4	5	4	Red	Solid Colors	8	1.2
3020	4586057	3020	Plate 2 x 4	80	288	Dark Green	Solid Colors	24	1.2
3020	4537936	3020	Plate 2 x 4	34	27	Lime	Solid Colors	1	1.2
3020	4211186	3020	Plate 2 x 4	88	70	Reddish Brown	Solid Colors	7	1.2
3020	4267874	3020	Plate 2 x 4	69	28	Dark Tan	Solid Colors	16	1.2
3020	4211395	3020	Plate 2 x 4	86	71	Light Bluish Gray	Solid Colors	24	1.2
3020	4114309	3020	Plate 2 x 4	2	19	Tan	Solid Colors	4	1.2
3021	302128	3021	Plate 2 x 3	6	2	Green	Solid Colors	2	0.93
3021	4211043	3021	Plate 2 x 3	85	72	Dark Bluish Gray	Solid Colors	4	0.93
3021	4650244	3021	Plate 2 x 3	80	288	Dark Green	Solid Colors	11	0.93
3021	4640675	3021	Plate 2 x 3	120	308	Dark Brown	Solid Colors	6	0.93
3021	4211189	3021	Plate 2 x 3	88	70	Reddish Brown	Solid Colors	5	0.93
3021	4118790	3021	Plate 2 x 3	2	19	Tan	Solid Colors	1	0.93
3021	6035540	3021	Plate 2 x 3	69	28	Dark Tan	Solid Colors	30	0.93
3021	4211396	3021	Plate 2 x 3	86	71	Light Bluish Gray	Solid Colors	17	0.93
3021	6224275	3021	Plate 2 x 3	68	484	Dark Orange	Solid Colors	1	0.93
3022	6013800	3022	Plate 2 x 2	80	288	Dark Green	Solid Colors	2	0
3022	4211094	3022	Plate 2 x 2	85	72	Dark Bluish Gray	Solid Colors	3	0.64
3022	4211397	3022	Plate 2 x 2	86	71	Light Bluish Gray	Solid Colors	5	0.64
3022	302226	3022	Plate 2 x 2	11	0	Black	Solid Colors	7	0.64
3022	4114084	3022	Plate 2 x 2	2	19	Tan	Solid Colors	9	0.64
3023	302328	3023	Plate 1 x 2	6	2	Green	Solid Colors	4	0.36
3023	4528604	3023	Plate 1 x 2	69	28	Dark Tan	Solid Colors	37	0.36
3023	302326	3023	Plate 1 x 2	11	0	Black	Solid Colors	2	0.36
3023	4211398	3023	Plate 1 x 2	86	71	Light Bluish Gray	Solid Colors	34	0.36
3023	6013102	3023	Plate 1 x 2	80	288	Dark Green	Solid Colors	11	0.36
3023	4211150	3023	Plate 1 x 2	88	70	Reddish Brown	Solid Colors	5	0.36
3023	4570877	3023	Plate 1 x 2	68	484	Dark Orange	Solid Colors	3	0.36
3023	4113917	3023	Plate 1 x 2	2	19	Tan	Solid Colors	27	0.36
3023	4211063	3023	Plate 1 x 2	85	72	Dark Bluish Gray	Solid Colors	9	0.36
3024	6055169	3024	Plate 1 x 1	80	288	Dark Green	Solid Colors	6	0.2
3024	302428	3024	Plate 1 x 1	6	2	Green	Solid Colors	1	0.2
3024	4211399	3024	Plate 1 x 1	86	71	Light Bluish Gray	Solid Colors	11	0.2
3024	4210719	3024	Plate 1 x 1	85	72	Dark Bluish Gray	Solid Colors	18	0.2
3024	4549436	3024	Plate 1 x 1	69	28	Dark Tan	Solid Colors	23	0.2
3024	4159553	3024	Plate 1 x 1	2	19	Tan	Solid Colors	30	0.2
3024	4221744	3024	Plate 1 x 1	88	70	Reddish Brown	Solid Colors	1	0.2
3028	4264818	3028	Plate 6 x 12	80	288	Dark Green	Solid Colors	1	9.47
3030	6247196	3030	Plate 4 x 10	6	2	Green	Solid Colors	2	5.55
3030	4295024	3030	Plate 4 x 10	80	288	Dark Green	Solid Colors	12	5.55
3030	4225715	3030	Plate 4 x 10	88	70	Reddish Brown	Solid Colors	25	5.55
3030		3030	Plate 4 x 10	5	4	Red	Solid Colors	7	5.55
3031	4243824	3031	Plate 4 x 4	2	19	Tan	Solid Colors	3	2.22
3031	4617799	3031	Plate 4 x 4	36	10	Bright Green	Solid Colors	1	2.22
3031	4243821	3031	Plate 4 x 4	6	2	Green	Solid Colors	4	2.22
3031		3031	Plate 4 x 4	69	28	Dark Tan	Solid Colors	2	2.22
3031	4243797	3031	Plate 4 x 4	86	71	Light Bluish Gray	Solid Colors	5	2.22
3032	4211404	3032	Plate 4 x 6	86	71	Light Bluish Gray	Solid Colors	8	3.3
3032	6167894	3032	Plate 4 x 6	69	28	Dark Tan	Solid Colors	2	3.3
3032	4252317	3032	Plate 4 x 6	80	288	Dark Green	Solid Colors	3	3.3
3033	4549214	3033	Plate 6 x 10	80	288	Dark Green	Solid Colors	6	7.95
3033	4211405	3033	Plate 6 x 10	86	71	Light Bluish Gray	Solid Colors	9	7.95
3033	4211114	3033	Plate 6 x 10	85	72	Dark Bluish Gray	Solid Colors	2	7.95
3033	4541680	3033	Plate 6 x 10	7	1	Blue	Solid Colors	2	7.95
3033	6249097	3033	Plate 6 x 10	5	4	Red	Solid Colors	1	7.95
3034	303421	3034	Plate 2 x 8	5	4	Red	Solid Colors	2	2.27
3034	4113988	3034	Plate 2 x 8	2	19	Tan	Solid Colors	4	2.27
3034	4211406	3034	Plate 2 x 8	86	71	Light Bluish Gray	Solid Colors	5	2.27
3034	303401	3034	Plate 2 x 8	1	15	White	Solid Colors	1	2.27
3034	4246957	3034	Plate 2 x 8	69	28	Dark Tan	Solid Colors	3	2.27
3035	4505051	3035	Plate 4 x 8	80	288	Dark Green	Solid Colors	3	4.7
553c	4161674	553c	Brick, Round 2 x 2 Dome Top - Hollow Stud with Bottom Axle Holder x Shape + Orientation	85	72	Dark Bluish Gray	Solid Colors	2	0.85
30374	4210641	30374	Bar   4L (Lightsaber Blade / Wand)	85	72	Dark Bluish Gray	Solid Colors	2	0.3
30374	6116606	30374	Bar   4L (Lightsaber Blade / Wand)	3	14	Yellow	Solid Colors	2	0.3
3039	4211054	3039	Slope 45 2 x 2	85	72	Dark Bluish Gray	Solid Colors	11	1.15
3040	4255624	3040	Slope 45 2 x 1	80	288	Dark Green	Solid Colors	1	0.69
3040	4211614	3040	Slope 45 2 x 1	86	71	Light Bluish Gray	Solid Colors	275	0.69
